seriec_179_esp.pdf in page 28:   '$9.032.00', '$300.000,00', '$78.09'
CtIDH_Casos_Esp_2013.pdf in page 1239:   '$2.000,00', '$50.000', '$20.000,00', '$300,00', '$80,00', '$150,00', '$120,00', '$586,19', '$118,48', '$630,89', '$527,27', '$180', '$8.045,08', '$7.345,50', '$1.500,00', '$11.800,00', '$8.000,00', '$8.500,00', '$28.000,00', '$20.990,00', '$12.810,00', '$12.810,00', '$20.902,04', '$18.340,00', '$14.000,00', '$4.005,61', '$6.540,00', '$12.040,00', '$1.413,14', '$6.086,09', '$923,12', '$2.410,16', '$273,00', '$20.000,00'
CtIDH_Casos_Esp_2013.pdf in page 1240:   '$300'
CtIDH_Casos_Esp_2013.pdf in page 1241:   '$10,000'
CtIDH_Casos_Esp_2013.pdf in page 1403:   '$1,000.00'
CtIDH_Casos_Esp_2013.pdf in page 1404:   '$2,000.00', '$10,00', '$30,000.00'
CtIDH_Casos_Esp_2013.pdf in page 1405:   '$5,000.00', '$3,500.00', '$3,500.00', '$1,500.00', '$3,500'
CtIDH_Casos_Esp_2013.pdf in page 1406:   '$3,693.58'
CtIDH_Casos_Esp_2013.pdf in page 1407:   '$3,693.58'
CtIDH_Casos_Esp_2012.pdf in page 31:   '$270.000.00'
CtIDH_Casos_Esp_2012.pdf in page 32:   '$181.000'
CtIDH_Casos_Esp_2012.pdf in page 36:   '$5,758,759'
CtIDH_Casos_Esp_2012.pdf in page 89:   '$5.000.000'
CtIDH_Casos_Esp_2012.pdf in page 94:   '$4.365.109.584', '$1.393.649.934', '$535.600', '$401.700', '$502.125', "$6'025", '$361.530', "$6'387"
CtIDH_Casos_Esp_2012.pdf in page 97:   '$5.758.759.019,20'
CtIDH_Casos_Esp_2012.pdf in page 297:   '$3500', '$4500', '$654.435,84', '$466.651,98'
CtIDH_Casos_Esp_2012.pdf in page 300:   '$1.376,96'
CtIDH_Casos_Esp_2012.pdf in page 428:   '$54.600', '$27.300', '$27.300'
CtIDH_Casos_Esp_2012.pdf in page 432:   '$7,539.42', '$7,539.42'
CtIDH_Casos_Esp_2012.pdf in page 571:   '$7.500,00'
CtIDH_Casos_Esp_2012.pdf in page 579:   '$100.000,00', '$65.000,00', '$20.000,00'
CtIDH_Casos_Esp_2012.pdf in page 580:   '$80.000,00', '$40.000,00', '$10.000,00'
CtIDH_Casos_Esp_2012.pdf in page 581:   '$20.000', '$165.000,00'
CtIDH_Casos_Esp_2012.pdf in page 582:   '$15.000'
CtIDH_Casos_Esp_2012.pdf in page 838:   '$5.000,00'
CtIDH_Casos_Esp_2012.pdf in page 840:   '$771'
CtIDH_Casos_Esp_2012.pdf in page 950:   '$25,000.00'
CtIDH_Casos_Esp_2012.pdf in page 951:   '$30,000.00', '$25,000.00'
CtIDH_Casos_Esp_2012.pdf in page 952:   '$15,000.00', '$10,000.00'
CtIDH_Casos_Esp_2012.pdf in page 955:   '$50,000.00'
CtIDH_Casos_Esp_2012.pdf in page 1100:   '$250,000.00'
CtIDH_Casos_Esp_2012.pdf in page 1148:   '$20.000', '$15.000'
CtIDH_Casos_Esp_2012.pdf in page 1149:   '$20,000', '$15,000', '$15,000'
CtIDH_Casos_Esp_2012.pdf in page 1153:   '$20.000'
CtIDH_Casos_Esp_2012.pdf in page 1155:   '$175.000,00', '$1.068.000', '$3.325.605,65'
CtIDH_Casos_Esp_2012.pdf in page 1156:   '$75.000,00', '$2.153,87', '$1.200', '$3.840.347,20'
CtIDH_Casos_Esp_2012.pdf in page 1157:   '$140.000', '$100.000', '$50.000', '$40.000', '$150.0', '$140.000'
CtIDH_Casos_Esp_2012.pdf in page 1158:   '$1.602,27', '$10.000'
CtIDH_Casos_Esp_2012.pdf in page 1159:   '$1.842,27'
CtIDH_Casos_Esp_2012.pdf in page 1240:   '$859,44', '$880,00', '$220,00'
CtIDH_Casos_Esp_2012.pdf in page 1269:   '$38.000', '$38.000'
CtIDH_Casos_Esp_2012.pdf in page 1492:   '$100.000,00'
CtIDH_Casos_Esp_2012.pdf in page 1703:   '$50,000.00'
CtIDH_Casos_Esp_2012.pdf in page 1704:   '$20,000.00'
CtIDH_Casos_Esp_2012.pdf in page 1705:   '$80,000.00', '$40,000.00'
CtIDH_Casos_Esp_2012.pdf in page 1794:   '$62.205', '$38.752'
CtIDH_Casos_Esp_2012.pdf in page 1795:   '$47.400', '$96.600'
CtIDH_Casos_Esp_2012.pdf in page 1796:   '$12.560.000', '$5.775.000', '$268.000'
CtIDH_Casos_Esp_2012.pdf in page 1797:   '$80.200', '$20.200', '$53.200', '$91.400'
CtIDH_Casos_Esp_2012.pdf in page 1798:   '$2000', '$56.000'
CtIDH_Casos_Esp_2008.pdf in page 60:   '$1.702.944.360,47'
CtIDH_Casos_Esp_2008.pdf in page 61:   '$1.421.039.360,47', '$369.019.165,72', '$400.250.887,61', '$408.448.263,34', '$238.275.467,80'
CtIDH_Casos_Esp_2008.pdf in page 118:   '$2.004,75', '$1.027,00', '$360,477,00', '$81,00', '$950,00', '$1.104,00', '$1.027,00'
CtIDH_Casos_Esp_2008.pdf in page 119:   '$488,00', '$170,000.00'
CtIDH_Casos_Esp_2008.pdf in page 120:   '$6,720.00', '$10.000,00'
CtIDH_Casos_Esp_2008.pdf in page 121:   '$4,500.00', '$1,500.00', '$500.00'
CtIDH_Casos_Esp_2008.pdf in page 122:   '$100.000,00', '$60.000,00', '$25.000,00', '$1.500.00', '$2.000.00', '$2.400.00'
CtIDH_Casos_Esp_2008.pdf in page 125:   '$52.000,00', '$50.000,00', '$60.000,00'
CtIDH_Casos_Esp_2008.pdf in page 126:   '$15,000.00'
CtIDH_Casos_Esp_2008.pdf in page 133:   '$1.500,00'
CtIDH_Casos_Esp_2008.pdf in page 134:   '$1.500,00'
CtIDH_Casos_Esp_2008.pdf in page 150:   '$260,000.00', '$1,219.82'
CtIDH_Casos_Esp_2008.pdf in page 183:   '$11,97', '$5,421.31', '$180,21', '$213,67', '$869,74', '$4,157'
CtIDH_Casos_Esp_2008.pdf in page 185:   '$3,500', '$6,000.00'
CtIDH_Casos_Esp_2008.pdf in page 197:   '$150.000,00', '$150.000,00'
CtIDH_Casos_Esp_2008.pdf in page 250:   '$15,000.00', '$3,000.00', '$42,300.00', '$2,000,000.00'
CtIDH_Casos_Esp_2008.pdf in page 251:   '$18,000.00', '$15,000.00', '$35,000.00', '$30,000.00', '$65,000.00'
CtIDH_Casos_Esp_2008.pdf in page 254:   '$18,000.00', '$22,000.00', '$7,500', '$3,750,000.00'
CtIDH_Casos_Esp_2008.pdf in page 256:   '$50,000.00'
CtIDH_Casos_Esp_2008.pdf in page 257:   '$50,000.00', '$2,113.00', '$57,051.00', '$1,013.00', '$2,113.00', '$5,000.00'
CtIDH_Casos_Esp_2008.pdf in page 259:   '$1,500,000.00', '$19,500,000.00'
CtIDH_Casos_Esp_2008.pdf in page 260:   '$100,000.00'
CtIDH_Casos_Esp_2008.pdf in page 264:   '$170,000.00'
CtIDH_Casos_Esp_2008.pdf in page 265:   '$50,000.00'
CtIDH_Casos_Esp_2008.pdf in page 331:   '$57.800,00'
CtIDH_Casos_Esp_2008.pdf in page 698:   '$9.032.00', '$300.000,00', '$78.09'
CtIDH_Casos_Esp_2008.pdf in page 699:   '$55.567.055,00', '$50.421.736'
CtIDH_Casos_Esp_2008.pdf in page 742:   '$20.000,00'
CtIDH_Casos_Esp_2008.pdf in page 788:   '$30.000', '$30.000'
seriec_108_esp.pdf in page 28:   '$1.000,00', '$331.500,00'
seriec_108_esp.pdf in page 29:   '$100,00', '$300,00', '$2.100,00', '$200,00', '$20.000,00', '$6.000,00', '$8.000,00', '$4.000,00', '$34.000,00', '$450,00'
seriec_108_esp.pdf in page 30:   '$70.200,00', '$3.500,00', '$100.000,00', '$1.200,00', '$1.500,00', '$1.000,00', '$1.000,00', '$4.700,00'
seriec_108_esp.pdf in page 31:   '$100.000,00'
seriec_108_esp.pdf in page 32:   '$1.400,00', '$34.000,00', '$6.000,00', '$8.000,00', '$20.000,00', '$80.000,00', '$60.000,00'
seriec_108_esp.pdf in page 33:   '$100.000,00', '$100.000,00', '$280,00', '$40.000,00', '$40.280,00', '$280,00', '$40.000,00', '$40.280,00', '$280,00', '$6.000,00', '$20.000,00', '$26.280,00', '$280,00', '$8.000,00', '$20.000,00', '$28.280,00', '$280,00', '$20.000,00', '$20.000,00', '$40.280,00'
seriec_108_esp.pdf in page 35:   '$100.000,00'
seriec_108_esp.pdf in page 36:   '$275.000,00'
seriec_108_esp.pdf in page 37:   '$40.000,00', '$100.000,00', '$100.000,00', '$55.000,00', '$10.000,00', '$65.000,00', '$55.000,00', '$55.000,00', '$55.000,00', '$10.000,00', '$65.000,00', '$55.000,00', '$10.000,00', '$65.000,00', '$55.000,00', '$10.000,00', '$65.000,00', '$415.000,00'
seriec_108_esp.pdf in page 45:   '$600,00', '$10.738,32', '$7.600,00', '$600,00'
seriec_108_esp.pdf in page 46:   '$7.000,00'
seriec_108_esp.pdf in page 48:   '$275.400,00', '$100.000,00', '$40.280,00'
seriec_108_esp.pdf in page 49:   '$40.280,00', '$26.280,00', '$28.280,00', '$40.280,00', '$415.000,00', '$100.000,00', '$65.000,00', '$55.000,00'
seriec_108_esp.pdf in page 50:   '$65.000,00', '$65.000,00', '$65.000,00', '$7.600,00'
seriec_133_esp.pdf in page 45:   '$5.000,00'
seriec_166_esp.pdf in page 40:   '$2.000,00'
seriec_166_esp.pdf in page 44:   '$10.000,00', '$1.871,63'
seriec_167_esp.pdf in page 42:   '$7.500'
seriec_167_esp.pdf in page 50:   '$10.000,00'
seriec_146_esp.pdf in page 17:   '$30.000,000'
seriec_146_esp.pdf in page 93:   '$4.638'
seriec_146_esp.pdf in page 97:   '$5.000,00'
seriec_146_esp.pdf in page 98:   '$1.000.000,00', '$20,000.00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00'
seriec_146_esp.pdf in page 99:   '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$380.000,00'
seriec_146_esp.pdf in page 101:   '$5.000,00'
seriec_049_esp.pdf in page 1:   '$390.000,00'
seriec_191_esp.pdf in page 32:   '$2.004,75', '$1.027,00', '$360,477,00', '$81,00', '$950,00', '$1.104,00', '$1.027,00'
seriec_191_esp.pdf in page 33:   '$488,00', '$170,000.00'
seriec_191_esp.pdf in page 34:   '$6,720.00', '$10.000,00'
seriec_191_esp.pdf in page 35:   '$4,500.00', '$1,500.00', '$500.00'
seriec_191_esp.pdf in page 36:   '$100.000,00', '$60.000,00', '$25.000,00', '$1.500.00', '$2.000.00', '$2.400.00'
seriec_191_esp.pdf in page 39:   '$52.000,00', '$50.000,00', '$60.000,00'
seriec_191_esp.pdf in page 40:   '$15,000.00'
seriec_191_esp.pdf in page 47:   '$1.500,00'
seriec_191_esp.pdf in page 48:   '$1.500,00'
seriec_045_esp.pdf in page 1:   '$20.000'
seriec_088_esp.pdf in page 1:   '$6$3'
seriec_088_esp.pdf in page 2:   '$9468'
seriec_088_esp.pdf in page 3:   '$7˝6', '$73˝6', '$9˝6'
seriec_088_esp.pdf in page 5:   '$6˝6', '$8˝6', '$6˝6'
seriec_088_esp.pdf in page 6:   '$9˝6', '$7?47'
seriec_088_esp.pdf in page 12:   "$96'4"
seriec_088_esp.pdf in page 19:   '$8771'
seriec_088_esp.pdf in page 24:   '$987', '$987'
seriec_088_esp.pdf in page 26:   '$9874'
seriec_088_esp.pdf in page 28:   '$987ˆ16', '$9876', '$987', '$3,4'
seriec_088_esp.pdf in page 30:   '$6:6'
seriec_088_esp.pdf in page 37:   '$987'
seriec_214_esp.pdf in page 72:   '$10.000,00'
seriec_214_esp.pdf in page 79:   '$10.000.00'
seriec_214_esp.pdf in page 80:   '$700.000,00'
seriec_214_esp.pdf in page 81:   '$260'
seriec_214_esp.pdf in page 82:   '$25.000,00'
seriec_117_esp.pdf in page 63:   '$557.453'
seriec_117_esp.pdf in page 69:   '$60.000,00', '$50.000,00', '$110.000,00', '$25.000,00'
seriec_117_esp.pdf in page 70:   '$12.500,00', '$25.000,00', '$10.000,00', '$8.000,00'
seriec_117_esp.pdf in page 71:   '$150.000,00', '$100.000,00'
seriec_117_esp.pdf in page 72:   '$75.000,00', '$10.000,00', '$15.000,00', '$10.000,00', '$100.000,00', '$80.000,00', '$50.000,00'
seriec_117_esp.pdf in page 73:   '$80.000,00', '$50.000,00', '$50.000,00', '$20.000,00', '$80.000,00', '$20.000,00', '$50.000,00'
seriec_117_esp.pdf in page 74:   '$50.000,00'
seriec_117_esp.pdf in page 77:   '$55.000,00', '$100.000,00', '$40.000,00', '$40.000,00', '$8.000,00', '$8.000,00', '$40.000,00', '$55.000,00', '$80.000,00', '$40.000,00', '$40.000,00', '$40.000,00', '$40.000,00', '$40.000,00', '$55.000,00', '$80.000,00', '$55.000,00', '$40.000,00', '$40.000,00', '$40.000,00', '$40.000,00', '$55.000,00', '$80.000,00', '$55.000,00', '$40.000,00', '$40.000,00', '$20.000,00', '$25.000,00', '$50.000,00', '$20.000,00', '$1.361.000,00'
seriec_117_esp.pdf in page 86:   '$25.000,00', '$12.500,00', '$12.000,00'
seriec_246_esp.pdf in page 39:   '$859,44', '$880,00', '$220,00'
seriec_246_esp.pdf in page 68:   '$38.000', '$38.000'
seriec_250_esp.pdf in page 103:   '$25,000.00'
seriec_250_esp.pdf in page 104:   '$30,000.00', '$25,000.00'
seriec_250_esp.pdf in page 105:   '$15,000.00', '$10,000.00'
seriec_250_esp.pdf in page 108:   '$50,000.00'
seriec_070_esp.pdf in page 1:   '$674', '$7794', '$779', '$779"4', '$7794', '$7#3', '$779', '$779', '$779'
seriec_070_esp.pdf in page 2:   '$77@3', '$778', '$778', '$778', '$77@34', '$778', '$778', '$9$778', '$778', '$6(6', '$778', '$9(6', '$778.4'
seriec_070_esp.pdf in page 4:   '$776', '$77B3'
seriec_070_esp.pdf in page 5:   '$77A4'
seriec_070_esp.pdf in page 6:   '$83$77', '$77B4'
seriec_070_esp.pdf in page 8:   '$77B316', '$77B4'
seriec_070_esp.pdf in page 9:   '$77B4', '$77B4'
seriec_070_esp.pdf in page 12:   '$777', '$4˜3', '$777/1', '$77B4', '$6$777', '$777', '$777.4', '$777', '$777', '$777', '$777.3'
seriec_070_esp.pdf in page 14:   '$9$776', '$776', '$7760', '$776I2', '$779', '$779', '$778', '$778', '$776F2', '$77B504', '$77B530', '$778', '$504', '$77B5', '$77B5', '$77B53', '$776F2'
seriec_070_esp.pdf in page 15:   '$779', '$779', '$779', '$77621', '$7791', '$776"141', '$77@1', '$6T79', '$776I2', '$3$776', '$778', '$5304', '$779', '$77900', '$779', '$779', '$779', '$779', '$778', '$77B5', '$77B5'
seriec_070_esp.pdf in page 16:   '$778', '$778', '$778', '$53$9', '$778', '$778', '$77B53', '$778', '$778'
seriec_070_esp.pdf in page 17:   '$778', '$778', '$778', '$504', '$77B54', '$9$778', '$77B53', '$778', '$9$778', '$778', '$9$778', '$778', '$778', '$77B5', '$77B53', '$778'
seriec_070_esp.pdf in page 18:   '$778*2', '$778N1', '$778', '$7780', '$778', '$778', '$778', '$9$778', '$77B53', '$778', '$778', '$778', '$7780', '$7780', '$77B5', '$77B53', '$778', '$778'
seriec_070_esp.pdf in page 19:   '$778˜0', '$778', '$778', '$778', '$7780', '$778', '$77B53', '$778', '$778', '$77B50', '$77B53', '$778', '$77B50'
seriec_070_esp.pdf in page 20:   '$778', '$778', '$77B53', '$7780', '$778', '$778', '$778', '$778', '$778', '$77B54', '$77B5', '$77B53', '$6395', '$778', '$778', '$778', '$778', '$778', '$77B5', '$77B54'
seriec_070_esp.pdf in page 21:   '$6395', '$778', '$778', '$778', '$778', '$778', '$776', '$778', '$778', '$778', '$778', '$778', '$778', '$778', '$778', '$77B5', '$77B5', '$77B54', '$77B5', '$3$776', '$779', '$779', '$779', '$779', '$778', '$778', '$778', '$778', '$778', '$6544', '$778', '$778', '$5.04', '$778', '$778', '$778'
seriec_070_esp.pdf in page 22:   '$779', '$77900', '$7790', '$5.6', '$7780', '$778', '$778', '$778', '$7780', '$7780', '$778', '$778', '$778', '$779', '$77;0', '$7790', '$5.6', '$7780', '$778', '$778', '$778', '$778', '$778', '$778', '$778', '$778'
seriec_070_esp.pdf in page 23:   '$776', '$776', '$77;3', '$77A04', '$77A51', '$777', '$778', '$778', '$778', '$778', '$778', '$776', '$77654', '$776', '$77654', '$77654', '$7534', '$96;9', '$8!6', '$77B5', '$77654', '$7765', '$77653', '$776'
seriec_070_esp.pdf in page 24:   '$778', '$778', '$778', '$778', '$778', '$778', '$77B534'
seriec_070_esp.pdf in page 25:   '$77;4'
seriec_070_esp.pdf in page 26:   '$7B7'
seriec_070_esp.pdf in page 27:   '$776', '$6$776', '$776', '$776'
seriec_070_esp.pdf in page 28:   '$77$4', '$776', '$776', '$779#98', '$7764', '$7763'
seriec_070_esp.pdf in page 29:   '$7761', '$779<4', '$7763'
seriec_070_esp.pdf in page 31:   '$778', '$779', '$776'
seriec_070_esp.pdf in page 32:   '$778', '$778'
seriec_070_esp.pdf in page 33:   '$7784'
seriec_070_esp.pdf in page 34:   '$778', '$7762', '$7762'
seriec_070_esp.pdf in page 35:   '$77604'
seriec_070_esp.pdf in page 36:   '$7763', '$779', '$9$7763', '$776'
seriec_070_esp.pdf in page 37:   '$776', '$77@4'
seriec_070_esp.pdf in page 38:   '$778N1', '$779'
seriec_070_esp.pdf in page 39:   '$779(1'
seriec_070_esp.pdf in page 40:   '$7B7'
seriec_070_esp.pdf in page 41:   '$776'
seriec_070_esp.pdf in page 42:   '$1$7', '$7761'
seriec_070_esp.pdf in page 43:   '$776', '$776', '$776', '$7763'
seriec_070_esp.pdf in page 44:   '$776(2', '$7763', '$7793'
seriec_070_esp.pdf in page 45:   '$776', '$779'
seriec_070_esp.pdf in page 46:   '$776', '$776', '$779', '$779'
seriec_070_esp.pdf in page 47:   '$7A7', '$776'
seriec_070_esp.pdf in page 48:   '$776', '$776', '$77$1', '$776', '$776', '$776', '$776'
seriec_070_esp.pdf in page 49:   '$7761', '$776', '$7763', '$776', '$776', '$7B8', '$776'
seriec_070_esp.pdf in page 50:   '$776', '$776', '$776', '$776', '$776', '$7763'
seriec_070_esp.pdf in page 51:   '$6$7763', '$776', '$776', '$7763', '$776', '$776'
seriec_070_esp.pdf in page 52:   '$777', '$9L79', '$779', '$779', '$777', '$8$7', '$9;5', '$7B7'
seriec_070_esp.pdf in page 53:   '$776'
seriec_070_esp.pdf in page 54:   '$863'
seriec_070_esp.pdf in page 55:   '$6$777', '$7763', '$776', '$776'
seriec_070_esp.pdf in page 57:   '$77:3', '$776,1', '$779', '$778', '$779', '$77;0', '$778', '$504', '$77B54', '$77B5', '$77B5', '$77B5'
seriec_070_esp.pdf in page 58:   '$776', '$77B50', '$77B54', '$778', '$77B5', '$77B5', '$77B5', '$77B5', '$77B50', '$77B542', '$365ˆ2', '$778', '$77B5', '$77B5', '$77B5', '$77B542', '$778', '$778', '$77B5', '$77B5', '$77B5', '$77B5', '$77B5', '$77B5', '$77B50', '$77B542', '$778'
seriec_070_esp.pdf in page 59:   '$6$776', '$6$776', '$778', '$77B5', '$77B5', '$77B5', '$77B5', '$77B5', '$77B53', '$778', '$77B5', '$77B5', '$77B5', '$77B5', '$77B54', '$776', '$77654', '$77654', '$778', '$778', '$77B5', '$77B5', '$77B54', '$365', '$778', '$778', '$77B504', '$77B5', '$77B542', '$365'
seriec_070_esp.pdf in page 60:   '$776', '$365', '$77B542', '$779', '$77900', '$778', '$504', '$77B53', '$778', '$778', '$778', '$7780', '$7780', '$778', '$778', '$778', '$77B5', '$77B5', '$77B5', '$77B5', '$77B5', '$77B54', '$778', '$779', '$779', '$779'
seriec_070_esp.pdf in page 61:   '$77;3', '$779', '$778', '$778', '$778', '$5.04', '$778', '$778', '$504', '$77B5', '$77B5', '$77B5', '$77B50', '$77B5', '$77B5', '$77B53', '$3$776'
seriec_070_esp.pdf in page 62:   '$67(4', '$883'
seriec_070_esp.pdf in page 63:   '$6$4', '$865', '$7$53', '$995', '$9;5', '$6A3', '$9:53'
seriec_070_esp.pdf in page 64:   '$779'
seriec_070_esp.pdf in page 65:   '$97(1', '$9$5'
seriec_070_esp.pdf in page 66:   '$7;5', '$883'
seriec_070_esp.pdf in page 67:   '$38(6'
seriec_070_esp.pdf in page 68:   '$38(6'
seriec_070_esp.pdf in page 69:   '$7A53', '$8;3', '$7853', '$7$778', '$983', '$7B9', '$7B6', '$776'
seriec_070_esp.pdf in page 70:   '$7A53'
seriec_070_esp.pdf in page 72:   '$7B9', '$38(6', '$38(6', '$7B9', '$7B6', '$776'
seriec_070_esp.pdf in page 73:   '$9A3', '$96$99', '$7B6'
seriec_070_esp.pdf in page 74:   '$776', '$7B53'
seriec_070_esp.pdf in page 75:   '$7764', '$776', '$7793'
seriec_070_esp.pdf in page 76:   '$7793', '$7H7'
seriec_070_esp.pdf in page 79:   '$777', '$685', '$6$5', '$6$5', '$6$5'
seriec_070_esp.pdf in page 80:   '$7793'
seriec_070_esp.pdf in page 82:   '$7@75', '$7@7'
seriec_070_esp.pdf in page 83:   '$7@7', '$7@73', '$7@73'
seriec_070_esp.pdf in page 84:   '$778'
seriec_070_esp.pdf in page 85:   '$6;3', '$6;3'
seriec_070_esp.pdf in page 87:   '$6;3'
seriec_070_esp.pdf in page 88:   '$38(6'
seriec_070_esp.pdf in page 89:   '$6;3'
seriec_070_esp.pdf in page 91:   '$7B7', '$778', '$778', '$777 3', '$777'
seriec_070_esp.pdf in page 92:   '$7B9', '$7B8'
seriec_070_esp.pdf in page 93:   '$76A54'
seriec_070_esp.pdf in page 94:   '$7A8', '$7A8', '$7@7'
seriec_070_esp.pdf in page 95:   '$7@7', '$7@7'
seriec_070_esp.pdf in page 96:   '$777', '$7B7', '$7B6', '$9$6966'
seriec_070_esp.pdf in page 97:   '$7B7', '$779', '$777', '$776', '$777'
seriec_070_esp.pdf in page 98:   '$777'
seriec_070_esp.pdf in page 99:   '$777', '$7T6', '$7;73'
seriec_070_esp.pdf in page 100:   '$7B7', '$77B3', '$777 3', '$77$3'
seriec_070_esp.pdf in page 101:   '$777'
seriec_070_esp.pdf in page 103:   '$777'
seriec_070_esp.pdf in page 107:   '$779', '$7795'
seriec_070_esp.pdf in page 108:   '$7@73', '$777', '$8B53', '$7@7'
seriec_070_esp.pdf in page 113:   '$776'
seriec_070_esp.pdf in page 115:   '$7@7'
seriec_196_esp.pdf in page 52:   '$600.00', '$600.00', '$800.00', '$300.00'
seriec_196_esp.pdf in page 53:   '$1,000.00', '$303.849.00'
seriec_196_esp.pdf in page 54:   '$70,000.00'
seriec_196_esp.pdf in page 55:   '$20,000.00', '$20,000.00', '$10,000.00', '$5,000.00', '$50,000.00'
seriec_196_esp.pdf in page 62:   '$11,546.77', '$8,465.48', '$20,012.25'
seriec_196_esp.pdf in page 63:   '$15,695.00', '$19,000.00'
seriec_132_esp.pdf in page 33:   '$30.000'
seriec_132_esp.pdf in page 35:   '$60.000,00', '$75.000,00', '$30.000,00', '$30.000,00', '$15.000,00'
seriec_132_esp.pdf in page 37:   '$100.000,00', '$50.000,00', '$50.000,00', '$20.000', '$50.000,00'
seriec_132_esp.pdf in page 39:   '$90.000,00', '$40.000,00'
seriec_132_esp.pdf in page 40:   '$20.000,00', '$50.000,00', '$8.000,00'
seriec_132_esp.pdf in page 45:   '$25.000,00'
seriec_132_esp.pdf in page 48:   '$89.732,94', '$17.172,27'
seriec_132_esp.pdf in page 49:   '$25.000,00', '$20.000,00', '$5.000,00'
CtIDH_Casos_Esp_1997.pdf in page 155:   '$20.000', '$20.000'
seriec_297_esp.pdf in page 99:   '$10.000,00'
seriec_297_esp.pdf in page 101:   '$30.000,00', '$10.000,00', '$6.651,44', '$138,30', '$2.751,80', '$482,90'
seriec_297_esp.pdf in page 102:   '$1.982,80', '$429,60', '$4.905,55', '$2.000'
seriec_211_esp.pdf in page 78:   '$5,499.34', '$3,354.92', '$60,681.11'
seriec_211_esp.pdf in page 80:   '$20.000.00', '$40.000.00', '$30.000.00'
seriec_211_esp.pdf in page 81:   '$96.92', '$9,885.38', '$11,189.29', '$20,455.95'
seriec_211_esp.pdf in page 82:   '$9.500.00', '$27.000.00', '$96.92'
CtIDH_Casos_Esp_2003.pdf in page 102:   '$2.950.00', '$698.00', '$13.178.00', '$8.600.00'
CtIDH_Casos_Esp_2003.pdf in page 103:   '$16.676.00', '$500.00', '$36.000.00', '$500.00'
CtIDH_Casos_Esp_2003.pdf in page 104:   '$5,000.00', '$1,000.00', '$1,000.00', '$1,000.00', '$1,000.00', '$1,000.00'
CtIDH_Casos_Esp_2003.pdf in page 105:   '$5,000.00', '$1,000.00', '$6,000.00', '$1,000.00', '$1,000.00', '$1,000.00', '$1,000.00', '$1,000.00', '$1,000.00', '$1,000.00', '$1,000.00', '$10,000.00'
CtIDH_Casos_Esp_2003.pdf in page 106:   '$55.000,00', '$15,000.00', '$20,000.00', '$12,000.00', '$10,000.00'
CtIDH_Casos_Esp_2003.pdf in page 107:   '$10,000.00', '$8,000.00', '$2,000.00', '$10.000.00', '$50,000.00'
CtIDH_Casos_Esp_2003.pdf in page 109:   '$20,000.00', '$10,000.00', '$44,000.00'
CtIDH_Casos_Esp_2003.pdf in page 111:   '$32.816.00'
CtIDH_Casos_Esp_2003.pdf in page 112:   '$6,000.00'
CtIDH_Casos_Esp_2003.pdf in page 115:   '$10,000.00', '$6,000.00', '$1,000.00', '$1,000.00', '$1,000.00', '$1,000.00', '$44,000.00'
CtIDH_Casos_Esp_2003.pdf in page 116:   '$20,000.00', '$10,000.00', '$6,000.00', '$6,000.00', '$1,000.00', '$1,000.00', '$6,000.00'
CtIDH_Casos_Esp_2003.pdf in page 152:   '$8.200,00'
CtIDH_Casos_Esp_2003.pdf in page 197:   '$949,934.78', '$561', '$388,050.14'
CtIDH_Casos_Esp_2003.pdf in page 206:   '$100,000.00'
CtIDH_Casos_Esp_2003.pdf in page 283:   '$949.434,78', '$561,384.64'
CtIDH_Casos_Esp_2003.pdf in page 284:   '$16,442.30', '$7,692.30', '$235,000.00'
CtIDH_Casos_Esp_2003.pdf in page 285:   '$25,000.00', '$3,000.00', '$3,000.00', '$235,000', '$235,000', '$3,000.00', '$3,000.00', '$3,000.00', '$3,000.00', '$25,000', '$25,000', '$266,000.00'
CtIDH_Casos_Esp_2003.pdf in page 290:   '$10,000.00', '$40,000.00', '$40,000.00', '$110,000.00', '$110,000.00', '$40,000.00', '$40,000.00', '$40,000.00', '$40,000.00', '$100,000.00', '$100,000.00', '$5,000.00', '$5,000.00', '$5,000.00', '$5,000.00', '$5,000.00', '$5,000.00', '$5,000.00', '$5,000.00', '$350,000.00'
